feature,score
r_browse_countAvgMon,1635
r_bill_prior_repayCaccount_topMean,1494
r_bill_limit-account_mean,1407
r_browse_meanAvgMon,1309
r_bill_accountBalance_mean,1195
r_bill_minimunRepay_mean,1151
r_browse_count,1127
r_bill_limit-account_topMean,1090
r_bill_account_monthAvg,1008
r_browse_tag_5,958
r_bill_minimunRepay_pctSum,955
r_bill_priorAccount_mean,939
r_bill_priorRepay_mean,925
r_bill_priorRepay_max,899
r_bill_prior_repayCaccount_mean,866
r_bill_countbank_id,852
r_browse_tag_10,847
r_browse_tag_7,824
r_browse_tag_1,786
r_bill_limitSum,782
r_browse_tag_6,779
r_bill_priorRepay_pctSum,756
r_bill_account_pctSum,729
r_bill_priorAccount_max,724
r_browse_tag_4,695
r_bill_priorAccount_std,680
r_bill_accountBalance_std,678
r_bill_accountBalance_pctSum,667
r_browse_tag_8,635
r_bill_minimunRepay_std,625
r_bill_priorRepay_std,611
r_bill_limitMean,605
r_bill_account_std,604
r_bill_priorAccount_pctSum,597
r_bill_limitStd,587
r_bill_count_monthAvg,563
r_bill_account_pctSumAbs,463
r_bill_priorRepayCAccount_std,451
r_browse_tag_3,409
r_household,374
r_sex,344
r_education,330
r_occupation,290
r_marriage,246
r_browse_tag_9,62
r_bill_bankid_count,11
r_browse_tag_11,5
r_browse_tag_2,1
