feature,score
r_browse_countAvgMon,2673
r_bill_limit-account_mean,2548
r_bill_prior_repayCaccount_topMean,2460
r_browse_meanAvgMon,2235
r_bill_accountBalance_mean,2068
r_bill_minimunRepay_mean,2036
r_browse_count,1841
r_bill_limit-account_topMean,1801
r_bill_priorAccount_mean,1632
r_bill_priorRepay_mean,1632
r_bill_account_monthAvg,1614
r_bill_prior_repayCaccount_mean,1525
r_bill_minimunRepay_pctSum,1523
r_bill_countbank_id,1462
r_browse_tag_10,1450
r_bill_priorRepay_max,1447
r_bill_limitSum,1408
r_browse_tag_1,1378
r_browse_tag_7,1347
r_browse_tag_5,1329
r_bill_priorAccount_max,1225
r_bill_priorRepay_pctSum,1194
r_browse_tag_4,1185
r_browse_tag_6,1176
r_bill_accountBalance_pctSum,1161
r_bill_accountBalance_std,1121
r_bill_account_std,1110
r_bill_account_pctSum,1106
r_browse_tag_8,1089
r_bill_minimunRepay_std,1053
r_bill_priorAccount_pctSum,1008
r_bill_priorAccount_std,997
r_bill_priorRepay_std,964
r_bill_count_monthAvg,963
r_bill_limitStd,954
r_bill_limitMean,922
r_bill_priorRepayCAccount_std,829
r_bill_account_pctSumAbs,749
r_browse_tag_3,718
r_household,604
r_sex,584
r_occupation,538
r_education,517
r_marriage,497
r_browse_tag_9,130
r_bill_bankid_count,50
r_browse_tag_11,12
r_browse_tag_2,5
